iter	Logloss	Accuracy
0	0.6869905512	0.6878909741
1	0.6811543743	0.6896782842
2	0.6759029384	0.6904229967
3	0.6708532676	0.690795353
4	0.6663345903	0.6912421805
5	0.6618753266	0.6911677093
6	0.6577738149	0.6920613643
7	0.6536109689	0.6915400655
8	0.6496100477	0.6927316056
9	0.6462366729	0.6941465594
10	0.642771161	0.6936997319
11	0.6399931599	0.6945189157
12	0.6369800141	0.6936997319
13	0.6347196788	0.6960083408
14	0.6321611861	0.6932529044
15	0.6298775657	0.6942955019
16	0.6274099643	0.695189157
17	0.6250054975	0.6958593983
18	0.6228810353	0.6958593983
19	0.6208806097	0.6968275246
20	0.6189470849	0.6968275246
21	0.6168568298	0.6969019958
22	0.6149159598	0.6965296396
23	0.6133571788	0.6964551683
24	0.6116810048	0.6974232946
25	0.609984298	0.6958593983
26	0.6086096207	0.6965296396
27	0.6071936789	0.6996574322
28	0.6059482251	0.6998063747
29	0.6048083438	0.6981680071
30	0.6036232145	0.6983914209
31	0.6021104038	0.7006255585
32	0.6006922925	0.7003276735
33	0.5994169936	0.7010723861
34	0.5988215421	0.700774501
35	0.5976235436	0.7011468573
36	0.5967230428	0.7021149836
37	0.5956022548	0.7026362824
38	0.5945590747	0.704572535
39	0.5935529337	0.7056896038
40	0.5927762077	0.7061364313
41	0.5921201497	0.7063598451
42	0.5911592724	0.7062853738
43	0.590490881	0.7065832589
44	0.5898146732	0.7073279714
45	0.5891760834	0.7064343164
46	0.5884620398	0.7080726839
47	0.587849257	0.7077747989
48	0.5871731896	0.7070300864
49	0.5864326012	0.7077003277
50	0.5857157115	0.7079982127
51	0.5849588674	0.7080726839
52	0.584404429	0.7088173965
53	0.5837848096	0.7088918677
54	0.5830174869	0.7093386953
55	0.5823988852	0.7096365803
56	0.581768744	0.7101578791
57	0.5812617508	0.7106047066
58	0.5805561732	0.7094876378
59	0.579912475	0.7101578791
60	0.5794623357	0.7101578791
61	0.5789045069	0.7103812928
62	0.5783049473	0.7101578791
63	0.5778151828	0.7114238904
64	0.5773859432	0.7108281203
65	0.5767726322	0.7112004766
66	0.5761537072	0.7117217754
67	0.5758465042	0.7118707179
68	0.5752578869	0.7129133155
69	0.574606976	0.713360143
70	0.5742721838	0.7135090855
71	0.5738975456	0.7135835567
72	0.5734608404	0.7137324993
73	0.5728954885	0.7138814418
74	0.5725343711	0.713955913
75	0.5721732532	0.7141793268
76	0.5717369558	0.7145516831
77	0.5713559283	0.714253798
78	0.570966459	0.7146261543
79	0.5706297958	0.7145516831
80	0.5703322277	0.7145516831
81	0.5699830145	0.7145516831
82	0.5689789731	0.7155942806
83	0.5679748653	0.7162645219
84	0.567628817	0.7161900506
85	0.5672649343	0.7164879357
86	0.5670164448	0.7167858207
87	0.566713454	0.7165624069
88	0.5662698782	0.7170837057
89	0.5659752656	0.7173815907
90	0.5631916853	0.7190199583
91	0.5604807802	0.721849866
92	0.5584937216	0.723041406
93	0.5567734658	0.7240840036
94	0.5564887486	0.7239350611
95	0.5543722105	0.7263926125
96	0.552309969	0.7275841525
97	0.5521052397	0.7273607388
98	0.5516368658	0.7282543938
99	0.551270078	0.7284033363
100	0.5503840687	0.7287012213
101	0.54989664	0.7288501638
102	0.5495861805	0.7289246351
103	0.5487944981	0.7298182901
104	0.5478481729	0.7301161752
105	0.5476002482	0.7304885314
106	0.5475148762	0.7304885314
107	0.547388647	0.7303395889
108	0.5472330247	0.7305630027
109	0.547025199	0.7306374739
110	0.5465848748	0.731531129
111	0.5463451079	0.7313821865
112	0.545914333	0.7313821865
113	0.5456817546	0.7319779565
114	0.5440080425	0.7325737265
115	0.5437774943	0.7324992553
116	0.5436229464	0.7322758415
117	0.5433108448	0.732424784
118	0.5432529423	0.7325737265
119	0.5429113925	0.732722669
120	0.5423765188	0.7324992553
121	0.5414101768	0.7334673816
122	0.541216292	0.7335418528
123	0.5410012271	0.7333929103
124	0.5408999316	0.7337652666
125	0.5406977078	0.7339886804
126	0.5399963908	0.7345844504
127	0.5397549489	0.7346589217
128	0.5394321474	0.7353291629
129	0.539104827	0.7358504617
130	0.5386019075	0.7359994042
131	0.5385039608	0.735924933
132	0.5383789287	0.7358504617
133	0.5382503443	0.7360738755
134	0.5380943817	0.7360738755
135	0.5380461172	0.7358504617
136	0.536960989	0.7367441168
137	0.5369489199	0.7366696455
138	0.5368057333	0.7367441168
139	0.5366905483	0.7370420018
140	0.5365384054	0.7366696455
141	0.5364093897	0.7368930593
142	0.5362098772	0.7367441168
143	0.535861875	0.7366696455
144	0.5354989405	0.7371909443
145	0.5350079371	0.7375633006
146	0.5345857541	0.7379356568
147	0.5344782432	0.7382335419
148	0.534363368	0.7381590706
149	0.5342518321	0.7381590706
150	0.5341584415	0.7380845993
151	0.5339903721	0.7386803694
152	0.5338526508	0.7388293119
153	0.5336888701	0.7388293119
154	0.5334034419	0.7389782544
155	0.5329308149	0.7392761394
156	0.5325362984	0.7394250819
157	0.532382649	0.7396484957
158	0.532148449	0.7392761394
159	0.5321163553	0.7394250819
160	0.5320394952	0.7394995532
161	0.5319507093	0.7398719094
162	0.5318053085	0.7399463807
163	0.5317635829	0.7398719094
164	0.5316256407	0.7397974382
165	0.5312633519	0.7397974382
166	0.5311884055	0.7397229669
167	0.5311126697	0.7399463807
168	0.5308340341	0.7393506107
169	0.5301459996	0.7389782544
170	0.5298690488	0.7395740244
171	0.5297706891	0.7396484957
172	0.5296615013	0.7398719094
173	0.5295369084	0.7401697945
174	0.5292073512	0.7402442657
175	0.529071574	0.7403932082
176	0.5288093112	0.7407655645
177	0.5287047223	0.7405421507
178	0.5286188674	0.7403932082
179	0.5281246924	0.740318737
180	0.5271647977	0.7404676795
181	0.5269357251	0.7410634495
182	0.526757495	0.7410634495
183	0.5267302766	0.741212392
184	0.526640234	0.741808162
185	0.526543563	0.7414358058
186	0.5264072864	0.7419571046
187	0.5263236162	0.7415847483
188	0.5261784063	0.741808162
189	0.526042666	0.7416592195
190	0.5259057192	0.7415847483
191	0.5257693361	0.7412868633
192	0.5256638316	0.7413613345
193	0.5249988349	0.741808162
194	0.52493205	0.7417336908
195	0.5249313676	0.7417336908
196	0.524921597	0.741808162
197	0.5248297585	0.7418826333
198	0.5245944917	0.7417336908
199	0.5245493326	0.7420315758
200	0.5244364114	0.741808162
201	0.524254856	0.7419571046
202	0.5240193959	0.7422549896
203	0.5239395125	0.7425528746
204	0.5238892736	0.7424039321
205	0.5237505452	0.7425528746
206	0.5235768733	0.7424784033
207	0.5233949879	0.7429997021
208	0.523205102	0.7430741734
209	0.5231364836	0.7431486446
210	0.5230576601	0.7431486446
211	0.5229411774	0.7433720584
212	0.5225937587	0.7436699434
213	0.5224951559	0.7438933572
214	0.5224284273	0.7439678284
215	0.5223756122	0.7438188859
216	0.5220266568	0.7436699434
217	0.5219314999	0.7437444147
218	0.5217603914	0.7439678284
219	0.5216961672	0.7439678284
220	0.5216302654	0.7441167709
221	0.52153427	0.7443401847
222	0.521531965	0.7443401847
223	0.5213909599	0.7442657134
224	0.5211023253	0.7441167709
225	0.5209541993	0.7438188859
226	0.5207745842	0.7441167709
227	0.5205140648	0.7446380697
228	0.5204915996	0.7445635985
229	0.5204149715	0.7450848972
230	0.5203831456	0.7451593685
231	0.520258083	0.7450848972
232	0.5202161552	0.7450848972
233	0.5200931846	0.7449359547
234	0.5200136059	0.7451593685
235	0.5199388088	0.7449359547
236	0.5198841435	0.7450848972
237	0.5195590343	0.7448614835
238	0.5195583817	0.7448614835
239	0.5195261686	0.7447870122
240	0.5194881514	0.745010426
241	0.5193725608	0.7448614835
242	0.5193037326	0.7450848972
243	0.5191519026	0.7448614835
244	0.5190326932	0.7445635985
245	0.5189247948	0.7447870122
246	0.5188284486	0.745010426
247	0.5187280931	0.7449359547
248	0.5185685522	0.745308311
249	0.518467777	0.7450848972
250	0.5183842363	0.7449359547
251	0.5183314341	0.7452338397
252	0.5177134594	0.745606196
253	0.5175765855	0.7458296098
254	0.5175145367	0.7461274948
255	0.5173991914	0.7462764373
256	0.5172386542	0.7463509085
257	0.5171444106	0.7465743223
258	0.5170261863	0.746201966
259	0.516979424	0.7462764373
260	0.5168875116	0.7458296098
261	0.5167581474	0.746201966
262	0.5165998727	0.7464253798
263	0.5164944049	0.7467977361
264	0.5163702556	0.7463509085
265	0.5161988087	0.7467232648
266	0.5161503719	0.7470956211
267	0.5160498403	0.7473935061
268	0.5159678985	0.7475424486
269	0.5158523461	0.7476169199
270	0.5158311691	0.7475424486
271	0.5157790625	0.7476169199
272	0.5156604889	0.7476913911
273	0.5155448914	0.7478403336
274	0.5154663069	0.7479148049
275	0.5154235855	0.7477658624
276	0.5153201947	0.7477658624
277	0.5151946926	0.7475424486
278	0.5151556598	0.7475424486
279	0.5150546871	0.7476913911
280	0.51465074	0.7482126899
281	0.5145920402	0.7482871612
282	0.51442771	0.7479148049
283	0.5143607432	0.7480637474
284	0.5140426444	0.7482126899
285	0.5139655429	0.7483616324
286	0.5138790178	0.7484361037
287	0.5137441243	0.7488084599
288	0.5136515394	0.7485850462
289	0.5136244293	0.7485105749
290	0.5134807105	0.7488084599
291	0.5133967411	0.7488829312
292	0.5132690876	0.7488829312
293	0.513120909	0.7490318737
294	0.513023473	0.7485850462
295	0.512940603	0.7489574024
296	0.5128486226	0.7487339887
297	0.5127251064	0.7485850462
298	0.5124772278	0.7488829312
299	0.5123919958	0.7488084599
300	0.5122839617	0.7489574024
301	0.5121855387	0.7490318737
302	0.5121439339	0.7490318737
303	0.5120800652	0.7491808162
304	0.5120743304	0.7491808162
305	0.5119946748	0.7491808162
306	0.5119110312	0.749106345
307	0.5118311032	0.74940423
308	0.5117132806	0.7492552875
309	0.5116506661	0.7494787012
310	0.5116496517	0.7494787012
311	0.511485974	0.7497765862
312	0.5114297863	0.7497765862
313	0.5110933954	0.75
314	0.5110263874	0.7497765862
315	0.5109577474	0.7501489425
316	0.5108390355	0.75
317	0.510680127	0.750297885
318	0.5104488392	0.75059577
319	0.5103765441	0.75059577
320	0.5103169805	0.7507447125
321	0.5102358017	0.7506702413
322	0.5101880552	0.7506702413
323	0.5100269172	0.7507447125
324	0.5099530999	0.7505212988
325	0.5095898479	0.75059577
326	0.5095884657	0.75059577
327	0.5093681647	0.7507447125
328	0.5092807368	0.7508191838
329	0.5091484608	0.7506702413
330	0.509001161	0.7507447125
331	0.5088606598	0.7506702413
332	0.5087252528	0.7511170688
333	0.5086571517	0.7510425976
334	0.5086105783	0.7513404826
335	0.5083960603	0.7517873101
336	0.508215795	0.7517128388
337	0.5081145998	0.7516383676
338	0.5079615552	0.7521596664
339	0.5078033215	0.7523086089
340	0.5076378536	0.7521596664
341	0.5075511456	0.7523086089
342	0.5074813986	0.7522341376
343	0.5073833684	0.7517873101
344	0.5072401014	0.7523086089
345	0.5070025699	0.7523086089
346	0.506884599	0.7526064939
347	0.5067761237	0.7526809651
348	0.5066907939	0.7523086089
349	0.5066227331	0.7525320226
350	0.5065013728	0.7528299077
351	0.506405634	0.7527554364
352	0.5063018694	0.7528299077
353	0.5060765107	0.7527554364
354	0.5059245686	0.7527554364
355	0.5058227272	0.7523830801
356	0.5055433266	0.7532022639
357	0.5054910397	0.7532022639
358	0.5053868473	0.7532767352
359	0.5053270228	0.7533512064
360	0.5051904707	0.7532767352
361	0.5050927158	0.7535746202
362	0.505029613	0.7535001489
363	0.5048518592	0.7535746202
364	0.5048030504	0.753798034
365	0.504614689	0.7538725052
366	0.5046020292	0.7537235627
367	0.5045058214	0.7538725052
368	0.5044044837	0.7538725052
369	0.5043343675	0.7541703902
370	0.504187139	0.754095919
371	0.5040968964	0.7538725052
372	0.5038190318	0.7542448615
373	0.503734768	0.754095919
374	0.5036131283	0.7533512064
375	0.5034710656	0.7536490915
376	0.5033104892	0.7535746202
377	0.502894429	0.7537235627
378	0.5028477355	0.7535001489
379	0.5027500055	0.7535746202
380	0.5027159407	0.7536490915
381	0.5026517686	0.7536490915
382	0.5025916578	0.7540214477
383	0.5025642303	0.754095919
384	0.5025117881	0.7540214477
385	0.5024490838	0.7543193327
386	0.5023417872	0.7543193327
387	0.5022450432	0.7543193327
388	0.5020952072	0.7543193327
389	0.5020188922	0.7542448615
390	0.5019036869	0.754393804
391	0.5018494388	0.7542448615
392	0.5017495089	0.7544682752
393	0.5016458611	0.7544682752
394	0.5015623114	0.754393804
395	0.5013274765	0.7546172178
396	0.501299655	0.7546172178
397	0.5012154983	0.7548406315
398	0.5010662474	0.754691689
399	0.5010631109	0.754691689
400	0.500938775	0.7547661603
401	0.500806751	0.7548406315
402	0.5006487161	0.7551385165
403	0.5004573315	0.7554364015
404	0.5003841878	0.7558087578
405	0.5002800739	0.755287459
406	0.5002242139	0.7556598153
407	0.5001090003	0.7555108728
408	0.4998769549	0.7555108728
409	0.4997747311	0.7555853441
410	0.499671475	0.7554364015
411	0.4996384251	0.7555108728
412	0.4995501156	0.7558087578
413	0.4994732786	0.7555108728
414	0.4993799461	0.7557342866
415	0.4992916166	0.7556598153
416	0.4991986724	0.7561066428
417	0.4991412363	0.7559577003
418	0.4991161655	0.7556598153
419	0.4989937316	0.7559577003
420	0.4989107944	0.7559577003
421	0.4988808669	0.7558832291
422	0.4987146462	0.7559577003
423	0.4986098321	0.7561811141
424	0.4985461912	0.7562555853
425	0.498488179	0.7564045279
426	0.4982671812	0.7562555853
427	0.4981454389	0.7565534704
428	0.4980483278	0.7564789991
