iter	Passed	Remaining
404	8126	21972
405	8144	21947
406	8164	21924
407	8183	21903
408	8202	21879
409	8220	21854
410	8241	21836
411	8259	21810
412	8278	21787
413	8295	21760
414	8314	21738
415	8333	21714
416	8350	21687
417	8371	21670
418	8390	21646
419	8408	21621
420	8427	21599
421	8446	21576
422	8468	21561
423	8485	21533
424	8508	21520
425	8529	21503
426	8549	21483
427	8570	21467
428	8589	21444
429	8606	21417
430	8624	21391
431	8644	21371
432	8666	21356
433	8689	21342
434	8710	21324
435	8731	21307
436	8752	21291
437	8775	21277
438	8794	21253
439	8812	21229
440	8826	21196
441	8845	21173
442	8864	21150
443	8884	21131
444	8903	21108
445	8924	21089
446	8944	21069
447	8963	21048
448	8982	21026
449	9015	21036
450	9035	21015
451	9053	20991
452	9074	20973
453	9094	20952
454	9113	20930
455	9134	20913
456	9156	20898
457	9177	20880
458	9197	20859
459	9218	20840
460	9240	20826
461	9260	20806
462	9279	20782
463	9298	20761
464	9321	20747
465	9340	20726
466	9362	20709
467	9384	20694
468	9406	20677
469	9429	20665
470	9448	20643
471	9472	20630
472	9493	20611
473	9518	20604
474	9541	20589
475	9563	20573
476	9586	20559
477	9614	20556
478	9638	20545
479	9661	20531
480	9686	20520
481	9706	20500
482	9727	20481
483	9748	20463
484	9770	20448
485	9789	20425
486	9810	20407
487	9829	20383
488	9848	20361
489	9868	20341
490	9886	20317
491	9907	20297
492	9927	20276
493	9946	20256
494	9967	20236
495	9988	20219
496	10020	20221
497	10041	20204
498	10058	20177
499	10078	20157
500	10099	20137
501	10120	20120
502	10141	20101
503	10157	20073
504	10176	20051
505	10197	20031
506	10226	20030
507	10248	20013
508	10269	19993
509	10287	19969
510	10304	19943
511	10323	19921
512	10345	19903
513	10363	19879
514	10384	19861
515	10405	19843
516	10427	19827
517	10447	19806
518	10467	19784
519	10487	19764
520	10513	19756
521	10536	19740
522	10561	19730
523	10581	19709
524	10598	19683
525	10619	19664
526	10638	19642
527	10663	19629
528	10683	19610
529	10705	19593
530	10726	19573
531	10747	19555
532	10767	19535
533	10786	19512
534	10808	19495
535	10829	19476
536	10847	19453
537	10869	19435
538	10886	19410
539	10906	19389
540	10927	19370
541	10949	19353
542	10969	19332
543	10988	19311
544	11022	19315
545	11048	19304
546	11068	19283
547	11091	19268
548	11110	19245
549	11127	19219
550	11147	19198
551	11170	19184
552	11192	19167
553	11211	19144
554	11233	19127
555	11254	19107
556	11274	19087
557	11295	19068
558	11314	19045
559	11336	19028
560	11361	19017
561	11381	18995
562	11401	18976
563	11423	18957
564	11442	18935
565	11463	18917
566	11487	18902
567	11509	18885
568	11531	18867
569	11553	18851
570	11573	18829
571	11595	18812
572	11614	18790
573	11634	18769
574	11654	18749
575	11673	18726
576	11692	18704
577	11715	18688
578	11735	18667
579	11755	18646
580	11775	18626
581	11796	18607
582	11816	18586
583	11834	18563
584	11853	18540
585	11874	18520
586	11894	18500
587	11914	18479
588	11933	18457
589	11953	18437
590	11974	18417
591	11994	18396
592	12028	18397
593	12046	18374
594	12067	18354
595	12082	18326
596	12100	18303
597	12120	18282
598	12140	18261
599	12160	18240
600	12180	18220
601	12201	18201
602	12220	18178
603	12239	18156
604	12259	18136
605	12280	18116
606	12300	18096
607	12319	18073
608	12339	18053
609	12360	18033
610	12378	18010
611	12398	17990
612	12420	17972
613	12445	17959
614	12466	17940
615	12497	17934
616	12521	17920
617	12543	17902
618	12564	17883
619	12587	17865
620	12606	17843
621	12628	17825
622	12648	17804
623	12667	17783
624	12687	17761
625	12708	17742
626	12726	17720
627	12746	17698
628	12764	17676
629	12784	17654
630	12808	17639
631	12827	17617
632	12847	17597
633	12866	17575
634	12888	17556
635	12910	17538
636	12928	17515
637	12945	17490
638	12968	17473
639	12991	17456
640	13019	17446
641	13053	17444
642	13077	17429
643	13099	17412
644	13119	17391
645	13140	17371
646	13160	17351
647	13184	17334
648	13205	17316
649	13226	17296
650	13248	17278
651	13270	17259
652	13292	17241
653	13312	17220
654	13332	17200
655	13354	17181
656	13374	17161
657	13396	17142
658	13418	17124
659	13440	17106
660	13461	17086
661	13481	17066
662	13504	17048
663	13528	17032
664	13552	17017
665	13574	16998
666	13594	16977
667	13613	16956
668	13635	16937
669	13656	16917
670	13677	16897
671	13698	16878
672	13716	16855
673	13737	16835
