iter	Logloss	Accuracy
0	0.6867444953	0.6925337569
1	0.6804473771	0.7001588562
2	0.6744862419	0.6964257347
3	0.6693935344	0.698649722
4	0.6643752005	0.7000794281
5	0.6594047563	0.6997617156
6	0.6552466561	0.7000794281
7	0.6510977064	0.7009531374
8	0.6474048106	0.7022239873
9	0.6431972853	0.7027799841
10	0.6396314761	0.7025416998
11	0.6357263678	0.7011914218
12	0.632357142	0.7017474186
13	0.6292595754	0.7021445592
14	0.6261210316	0.7020651311
15	0.6236656031	0.7030182685
16	0.6208052698	0.7020651311
17	0.618381135	0.7038125496
18	0.6165429284	0.7033359809
19	0.6144931467	0.7038919778
20	0.6126001925	0.7039714059
21	0.6104312172	0.7048451152
22	0.6086351153	0.7055599682
23	0.606902858	0.7056393963
24	0.6051805032	0.7051628276
25	0.6036048554	0.7050039714
26	0.6019775834	0.705401112
27	0.6002890341	0.7062748213
28	0.5987518167	0.7059571088
29	0.5973637722	0.7064336775
30	0.5959734928	0.7070691025
31	0.5947037724	0.7065925338
32	0.5935544724	0.7071485306
33	0.5928017187	0.7070691025
34	0.5912656366	0.7080222399
35	0.5900142015	0.708101668
36	0.5889482816	0.7087370929
37	0.5879102535	0.7089753773
38	0.5868330528	0.7092136616
39	0.5857393607	0.7090548054
40	0.5852869068	0.7090548054
41	0.584365782	0.7088959492
42	0.5834868009	0.7090548054
43	0.5822632895	0.7098490866
44	0.5813982305	0.7104845115
45	0.580711426	0.7110405083
46	0.5799823389	0.710802224
47	0.579037266	0.7108816521
48	0.5783060746	0.7115965052
49	0.5775896871	0.7116759333
50	0.5769141115	0.7127084988
51	0.5760028182	0.7134233519
52	0.5754107218	0.7138999206
53	0.5746907446	0.7142970612
54	0.5739576922	0.7154090548
55	0.5732149077	0.7157267673
56	0.5726141885	0.7161239079
57	0.5719118961	0.7164416203
58	0.5712499469	0.7160444797
59	0.570411812	0.7168387609
60	0.569923816	0.7165210485
61	0.5693314526	0.716918189
62	0.5689246515	0.7173947577
63	0.5684186507	0.7179507546
64	0.567839038	0.718268467
65	0.5673983377	0.7185861795
66	0.5669532998	0.7187450357
67	0.5665097088	0.7185861795
68	0.5659422796	0.7188244639
69	0.5654625462	0.7190627482
70	0.5649565685	0.7193804607
71	0.5646387412	0.7189833201
72	0.5642999028	0.7189833201
73	0.5640307291	0.7194598888
74	0.5636565516	0.7197776013
75	0.5632618841	0.72025417
76	0.5628694497	0.7204924543
77	0.5625443637	0.720969023
78	0.5613064145	0.7218427323
79	0.5608797023	0.7222398729
80	0.5603323756	0.7224781573
81	0.5597131907	0.7230341541
82	0.5592556816	0.7238284353
83	0.5589668884	0.7242255759
84	0.557822457	0.7238284353
85	0.5575066567	0.7239872915
86	0.5570667022	0.7245432883
