iter	Logloss	Accuracy
0	0.6862439636	0.700111217
1	0.6799888105	0.7014617096
2	0.6741448856	0.70042898
3	0.6693365975	0.7024149984
4	0.6647130546	0.7026533206
5	0.6597742675	0.7036860502
6	0.6549659712	0.7032888465
7	0.6512332307	0.7033682873
8	0.6474986793	0.7036066095
9	0.6440076621	0.7029710836
10	0.6402744626	0.7033682873
11	0.636792135	0.703129965
12	0.6330860098	0.7040832539
13	0.6296761012	0.7041626946
14	0.6266986973	0.7042421354
15	0.6235896076	0.7059898316
16	0.6209021889	0.7063870353
17	0.6185376198	0.7071814426
18	0.6165408358	0.7074197649
19	0.6142025168	0.7076580871
20	0.6121580012	0.7074197649
21	0.6100524282	0.7073403241
22	0.6080429468	0.7071020019
23	0.6064822435	0.7068636797
24	0.6045539353	0.7067047982
25	0.6028144542	0.7072608834
26	0.6009473509	0.7070225612
27	0.5991476277	0.7076580871
28	0.5976335286	0.7076580871
29	0.5964365374	0.7080552908
30	0.5947394552	0.7091674611
31	0.5935362452	0.7089291389
32	0.5921425557	0.7098824277
33	0.5909505619	0.7098824277
34	0.589545131	0.7099618684
35	0.5884825694	0.7096441055
36	0.5872805769	0.7101207499
37	0.5862988041	0.7105973943
38	0.5854589832	0.7102796314
39	0.5846527237	0.7102001907
40	0.583590246	0.7111534795
41	0.5827408017	0.7121067684
42	0.5819211932	0.712503972
43	0.5810387646	0.7124245313
44	0.5801956137	0.7130600572
45	0.5794051889	0.7137750238
46	0.578617363	0.7136955831
47	0.5778794844	0.714013346
48	0.5770407089	0.7146488719
49	0.5762422629	0.7145694312
50	0.5755639401	0.7144899905
51	0.5747784089	0.7153638386
52	0.5742081438	0.7150460756
53	0.573784985	0.7156816015
54	0.573068326	0.7156816015
55	0.5724356964	0.7154432793
56	0.5720236797	0.7155227201
57	0.5712564899	0.7160788052
58	0.5706542743	0.7159993645
59	0.570113778	0.7167937718
60	0.5694986128	0.7171115348
61	0.5686207428	0.7174292977
62	0.5681248348	0.7180648236
63	0.5677951366	0.7180648236
64	0.5671552879	0.7182237051
65	0.5666479445	0.7180648236
66	0.5661936727	0.7177470607
67	0.5658587106	0.7181442644
68	0.5654963164	0.7183031459
69	0.5651407404	0.7187003495
70	0.5645978663	0.7184620273
71	0.5640293685	0.7190975532
72	0.5636887176	0.7194947569
73	0.5632315711	0.7205274865
74	0.5628412532	0.7206069272
75	0.562637639	0.7209246902
76	0.5622729351	0.720686368
77	0.5618715905	0.7212424531
78	0.5612184619	0.7210041309
79	0.56082305	0.7210041309
80	0.5604790061	0.7214013346
81	0.5601083775	0.7212424531
82	0.5596583769	0.7225135049
83	0.5586594132	0.7239434382
84	0.5582972507	0.7233079123
85	0.5572650006	0.7244200826
86	0.5569449225	0.7246584048
87	0.5565875189	0.724896727
88	0.5559559783	0.7255322529
89	0.555513971	0.7258500159
90	0.555273035	0.7254528122
91	0.5548125809	0.7257705752
92	0.5545061937	0.7259294566
93	0.5542564366	0.7253733715
94	0.5530064777	0.7265649825
95	0.5527434487	0.7268033047
96	0.5515317795	0.7278360343
97	0.5512018708	0.7283921195
98	0.550936233	0.7283921195
99	0.5506881663	0.7281537973
100	0.5503777788	0.7283921195
101	0.5500702491	0.7283126787
102	0.5492327419	0.7288687639
103	0.5486323727	0.7293454083
104	0.5472720716	0.7302192564
105	0.5468729072	0.7308547823
106	0.5466494248	0.7310136638
107	0.5464135658	0.7311725453
108	0.5451860263	0.7319669527
109	0.5445390744	0.7326024786
110	0.5433318789	0.7336352081
111	0.5426022205	0.7339529711
112	0.5423543712	0.7339529711
113	0.5421539701	0.734270734
114	0.5413192993	0.734588497
115	0.5411675602	0.7346679377
116	0.5408533218	0.7346679377
117	0.5402384451	0.735780108
118	0.5397130945	0.7362567525
119	0.5393915108	0.7368128376
120	0.5388315224	0.7371306006
121	0.5386703287	0.7372100413
122	0.5383762672	0.7372100413
123	0.5381569425	0.7381633302
124	0.5377189557	0.7380044487
125	0.5375223776	0.7381633302
126	0.5371928584	0.7387194153
127	0.5366931309	0.7397521449
128	0.5364309204	0.7400699078
129	0.5359190182	0.7405465523
130	0.535774356	0.7402287893
131	0.5354435706	0.7403082301
132	0.5352798684	0.740625993
133	0.5347196799	0.7413409596
134	0.5344085771	0.7416587226
135	0.5338629793	0.7422148078
136	0.5333680886	0.7427708929
137	0.5331581719	0.7434064188
138	0.5328601275	0.7433269781
139	0.5327190377	0.7435653003
140	0.5327009496	0.7433269781
141	0.5317644371	0.7443597077
142	0.5312482111	0.7445980299
143	0.5310854005	0.7445185891
144	0.5309179848	0.7446774706
145	0.5307932843	0.7445980299
146	0.5306531967	0.7447569113
147	0.5302085302	0.7447569113
148	0.5296647753	0.7449157928
149	0.5295018025	0.7445980299
150	0.529252623	0.7448363521
151	0.5289989169	0.7450746743
152	0.5286832337	0.7450746743
153	0.5286089503	0.745154115
154	0.5284841004	0.7449952336
155	0.5283585688	0.7452335558
156	0.5282585226	0.7452335558
157	0.5279058895	0.7453924372
158	0.5277558243	0.745471878
159	0.5274198667	0.7461074039
160	0.5269079122	0.7465046076
161	0.5264978553	0.7469018112
162	0.526116216	0.7471401335
163	0.5260023241	0.7472990149
164	0.5257140208	0.7473784557
165	0.5254204595	0.7473784557
166	0.5251404957	0.7472195742
167	0.5250191694	0.7472195742
168	0.5248071087	0.7474578964
169	0.5245082438	0.7476962186
170	0.5242704323	0.7480139816
171	0.5240494254	0.7482523038
172	0.5238078183	0.7482523038
173	0.5236663389	0.7484111853
174	0.5234598781	0.7488083889
175	0.5234150361	0.7488878297
176	0.5231866535	0.748490626
177	0.5230776417	0.748490626
178	0.5228493844	0.7486495075
179	0.5228329937	0.748490626
180	0.52257363	0.7484111853
181	0.5224434263	0.7485700667
182	0.5224100226	0.7487289482
183	0.5218610588	0.7489672704
184	0.5217283086	0.7492850334
185	0.5214839216	0.7490467112
186	0.5209710185	0.7499205593
187	0.5208805461	0.7498411185
188	0.5207409849	0.7502383222
189	0.520578159	0.7503972037
