iter	Passed	Remaining
0	18	47314
1	36	45343
2	57	47682
3	69	43410
4	83	41725
5	98	40951
6	114	40855
7	125	38999
8	138	38438
9	158	39472
10	173	39256
11	192	40008
12	216	41424
13	246	43795
14	271	44928
15	287	44625
16	302	44169
17	319	44048
18	338	44150
19	361	44803
20	382	45131
21	400	45141
22	420	45233
23	434	44862
24	456	45229
25	474	45118
26	493	45176
27	514	45400
28	543	46271
29	569	46899
30	586	46679
31	601	46406
32	617	46197
33	635	46121
34	658	46342
35	675	46228
36	692	46086
37	708	45886
38	723	45645
39	744	45760
40	762	45755
41	778	45555
42	794	45388
43	811	45306
44	829	45279
45	853	45547
46	871	45472
47	886	45276
48	901	45071
49	921	45135
50	960	46140
51	977	46006
52	994	45934
53	1011	45814
54	1031	45854
55	1053	45961
56	1070	45867
57	1093	46047
58	1118	46281
59	1149	46744
60	1182	47267
61	1210	47587
62	1228	47523
63	1252	47688
64	1269	47556
65	1286	47445
66	1302	47305
67	1319	47198
68	1339	47198
69	1362	47294
70	1384	47349
71	1406	47446
72	1435	47721
73	1458	47811
74	1476	47754
75	1503	47946
76	1529	48134
77	1555	48293
78	1573	48223
79	1591	48134
80	1608	48041
81	1626	47948
82	1652	48113
83	1669	48028
84	1686	47915
85	1700	47725
86	1717	47642
87	1739	47680
88	1760	47703
89	1779	47640
90	1794	47495
91	1811	47401
92	1831	47401
93	1849	47331
94	1864	47209
95	1880	47098
96	1897	46998
97	1911	46846
98	1932	46858
99	1978	47494
100	2006	47658
101	2031	47760
102	2071	48200
103	2094	48244
104	2111	48165
105	2130	48124
106	2153	48157
107	2170	48072
108	2189	48026
109	2211	48043
110	2234	48095
111	2253	48054
112	2268	47916
113	2285	47826
114	2302	47753
115	2324	47763
116	2346	47796
117	2365	47749
118	2383	47693
119	2405	47702
120	2432	47818
121	2456	47889
122	2474	47813
123	2489	47694
124	2502	47551
125	2519	47467
126	2542	47501
127	2560	47451
128	2579	47405
129	2597	47346
130	2614	47274
131	2638	47329
132	2657	47297
133	2675	47236
134	2695	47227
135	2719	47262
136	2750	47435
137	2767	47372
138	2786	47330
139	2804	47279
140	2811	47040
141	2834	47064
142	2853	47027
143	2870	46965
144	2886	46877
145	2905	46849
146	2933	46957
147	2949	46870
148	2995	47261
149	3012	47201
150	3035	47226
151	3052	47155
152	3068	47070
153	3086	47025
154	3105	46978
155	3132	47072
156	3151	47029
157	3168	46964
158	3185	46896
159	3201	46823
160	3223	46832
161	3244	46831
162	3262	46781
163	3281	46741
164	3295	46636
165	3315	46612
166	3353	46852
167	3377	46877
168	3402	46927
169	3440	47150
170	3470	47269
171	3495	47313
172	3517	47318
173	3547	47425
174	3570	47439
175	3590	47415
176	3611	47392
177	3636	47438
178	3656	47417
179	3670	47312
180	3689	47270
181	3705	47200
182	3723	47138
183	3743	47122
184	3762	47077
185	3779	47022
186	3797	46976
187	3816	46937
188	3836	46906
189	3853	46847
190	3870	46785
191	3888	46747
192	3903	46663
193	3932	46740
194	3953	46729
195	3980	46793
196	4030	47118
197	4046	47044
198	4063	46983
199	4081	46942
200	4099	46884
201	4123	46904
202	4153	47001
203	4175	46994
204	4200	47028
205	4230	47114
206	4251	47089
207	4270	47054
208	4292	47055
209	4321	47129
210	4345	47146
211	4366	47128
212	4401	47257
213	4435	47381
214	4462	47424
215	4494	47524
216	4538	47749
217	4573	47870
218	4591	47826
219	4611	47789
220	4631	47765
221	4653	47752
222	4671	47698
223	4688	47634
224	4705	47576
225	4726	47554
226	4743	47499
227	4759	47425
228	4776	47365
229	4793	47314
230	4819	47343
231	4839	47305
232	4860	47290
233	4884	47299
234	4904	47272
235	4926	47261
236	4942	47190
237	4959	47140
238	4977	47084
239	4993	47022
240	5149	48268
241	5166	48204
242	5182	48135
243	5201	48092
244	5222	48072
245	5238	48000
246	5255	47938
247	5272	47878
248	5291	47831
249	5315	47837
250	5332	47782
251	5350	47728
252	5366	47662
253	5384	47616
254	5405	47591
255	5425	47557
256	5442	47501
257	5459	47446
258	5477	47396
259	5494	47340
260	5521	47368
261	5544	47365
262	5568	47364
263	5591	47354
264	5645	47613
265	5752	48313
266	5794	48464
267	5819	48467
268	5836	48406
269	5852	48336
270	5869	48273
271	5886	48219
272	5909	48204
273	5926	48151
274	5942	48082
275	5957	48003
276	5972	47931
277	5987	47860
278	6013	47873
279	6031	47823
280	6049	47771
281	6067	47724
282	6075	47591
283	6093	47545
284	6116	47537
285	6150	47610
286	6184	47688
287	6210	47702
288	6227	47645
289	6246	47603
290	6264	47551
291	6281	47498
292	6303	47480
293	6325	47460
294	6343	47413
295	6358	47344
296	6372	47270
297	6391	47226
298	6414	47215
299	6430	47157
300	6446	47094
301	6464	47048
302	6483	47007
303	6512	47043
304	6534	47024
305	6553	46988
306	6579	47002
307	6602	46989
308	6630	47014
309	6651	46991
310	6672	46966
311	6690	46917
312	6712	46898
313	6729	46848
314	6746	46796
315	6761	46733
316	6783	46711
317	6818	46789
318	6842	46780
319	6859	46729
320	6872	46652
321	6890	46610
322	6910	46573
323	6926	46515
324	6940	46450
325	6959	46411
326	6975	46351
327	6991	46298
328	7010	46263
329	7025	46201
330	7042	46146
331	7058	46092
332	7073	46033
333	7090	45980
334	7113	45975
335	7134	45949
336	7150	45896
337	7204	46080
338	7222	46037
339	7238	45985
340	7255	45936
341	7271	45880
342	7287	45828
343	7310	45818
344	7329	45784
345	7346	45735
346	7362	45684
347	7383	45660
348	7407	45653
349	7422	45597
350	7451	45621
351	7475	45615
352	7498	45608
353	7514	45555
354	7530	45502
355	7548	45462
356	7567	45423
357	7586	45392
358	7621	45450
359	7649	45473
360	7688	45553
361	7709	45535
362	7728	45495
363	7742	45435
364	7759	45388
365	7777	45348
366	7801	45344
367	7820	45309
368	7838	45265
369	7854	45216
370	7874	45186
371	7898	45184
372	7924	45187
373	7939	45134
374	7957	45090
375	7975	45050
376	8006	45084
377	8027	45064
378	8044	45018
379	8062	44980
380	8081	44944
381	8102	44925
382	8120	44883
383	8135	44831
384	8153	44790
385	8169	44739
386	8217	44869
387	8236	44836
388	8252	44782
389	8271	44749
390	8294	44738
391	8311	44694
392	8328	44650
393	8344	44605
394	8361	44559
395	8378	44514
396	8403	44513
397	8423	44489
398	8440	44445
399	8456	44398
400	8473	44353
401	8498	44354
402	8516	44317
403	8534	44277
404	8552	44238
405	8570	44203
406	8598	44220
407	8623	44216
408	8646	44203
409	8668	44185
410	8698	44212
411	8728	44234
412	8750	44219
413	8775	44217
414	8803	44229
415	8826	44216
416	8846	44188
417	8868	44173
418	8897	44190
419	8918	44168
420	8940	44148
421	8962	44132
422	8987	44128
423	9009	44112
424	9025	44064
425	9042	44023
426	9058	43977
427	9077	43946
428	9098	43923
429	9119	43901
430	9137	43863
431	9153	43819
432	9170	43778
433	9196	43778
434	9225	43795
435	9262	43848
436	9283	43826
437	9302	43793
438	9320	43756
439	9337	43718
440	9357	43687
441	9376	43657
442	9397	43637
443	9416	43604
444	9432	43557
445	9449	43516
446	9464	43471
447	9491	43476
448	9515	43466
449	9538	43454
450	9560	43435
451	9590	43456
452	9611	43433
453	9632	43411
454	9664	43435
455	9698	43470
456	9723	43469
457	9749	43469
458	9768	43438
459	9791	43424
460	9809	43386
461	9827	43349
462	9843	43306
463	9861	43273
464	9887	43271
465	9905	43236
466	9923	43199
467	9941	43164
468	9963	43148
469	9986	43135
