iter	Passed	Remaining
0	82	204990
1	127	158764
2	152	127289
3	170	106596
4	196	98049
5	223	92773
6	253	90301
7	280	87242
8	310	86014
9	369	92057
10	391	88482
11	412	85550
12	443	84852
13	467	83056
14	496	82219
15	521	80974
16	544	79594
17	566	78092
18	592	77342
19	619	76866
20	645	76200
21	660	74421
22	676	72830
23	690	71248
24	704	69790
25	727	69254
26	743	68110
27	764	67451
28	780	66523
29	797	65662
30	819	65288
31	836	64536
32	852	63699
33	866	62837
34	881	62053
35	897	61438
36	915	60964
37	934	60534
38	946	59747
39	961	59159
40	981	58884
41	1000	58532
42	1028	58780
43	1049	58587
44	1075	58680
45	1101	58773
46	1124	58667
47	1139	58185
48	1154	57739
49	1170	57348
50	1189	57109
51	1215	57239
52	1238	57189
53	1257	56950
54	1280	56908
55	1296	56599
56	1325	56791
57	1339	56398
58	1354	56029
59	1368	55652
60	1382	55289
61	1396	54930
62	1417	54838
63	1442	54920
64	1463	54836
65	1485	54778
66	1501	54531
67	1525	54573
68	1553	54745
69	1574	54661
70	1590	54400
71	1608	54245
72	1633	54296
73	1647	54019
74	1663	53797
75	1682	53647
76	1696	53377
77	1721	53463
78	1743	53423
79	1765	53417
80	1783	53276
81	1799	53077
82	1822	53058
83	1840	52924
84	1854	52694
85	1873	52582
86	1889	52403
87	1909	52342
88	1926	52176
89	1951	52244
90	1974	52269
91	1996	52250
92	2027	52467
93	2050	52496
94	2077	52590
95	2099	52573
96	2125	52656
97	2143	52544
98	2160	52405
99	2178	52288
100	2197	52192
101	2225	52322
102	2243	52218
103	2266	52210
104	2283	52090
105	2309	52161
106	2339	52311
107	2368	52467
108	2399	52626
109	2435	52908
110	2467	53103
111	2500	53322
112	2535	53569
113	2563	53645
114	2594	53814
115	2636	54174
116	2675	54484
117	2714	54792
118	2731	54658
119	2748	54507
120	2765	54367
121	2782	54226
122	2798	54087
123	2820	54041
124	2837	53906
125	2854	53785
126	2869	53613
127	2885	53477
128	2915	53585
129	2937	53545
130	2953	53413
131	2969	53276
132	2992	53262
133	3017	53273
134	3034	53154
135	3053	53075
136	3069	52948
137	3089	52874
138	3117	52954
139	3141	52951
140	3165	52954
141	3190	52984
142	3218	53047
143	3244	53084
144	3276	53217
145	3311	53392
146	3341	53487
147	3365	53476
148	3391	53513
149	3424	53645
150	3455	53759
151	3485	53844
152	3515	53924
153	3541	53947
154	3558	53830
155	3580	53801
156	3614	53937
157	3654	54175
158	3699	54473
159	3733	54596
160	3755	54560
161	3781	54578
162	3813	54677
163	3834	54613
164	3855	54568
165	3879	54542
166	3902	54512
167	3919	54410
168	3935	54276
169	3950	54142
170	3967	54032
171	3993	54056
172	4021	54096
173	4038	53982
174	4058	53921
175	4085	53946
176	4113	53987
177	4130	53879
178	4146	53763
179	4163	53659
180	4177	53528
181	4197	53454
182	4219	53425
183	4236	53318
184	4242	53087
185	4257	52973
186	4273	52856
187	4288	52737
188	4309	52699
189	4327	52611
190	4348	52563
191	4366	52492
192	4404	52651
193	4446	52854
194	4481	52970
195	4511	53031
196	4534	53006
197	4560	53017
198	4572	52866
199	4579	52669
200	4595	52558
201	4620	52564
202	4649	52612
203	4679	52661
204	4713	52769
205	4750	52900
206	4775	52897
207	4811	53015
208	4845	53110
209	4870	53107
210	4896	53117
211	4927	53184
