iter	Logloss	Accuracy
0	0.6867950192	0.6991579282
1	0.6806638229	0.6984429616
2	0.6750025012	0.6997140133
3	0.6694607926	0.7017794725
4	0.6643450397	0.7057515094
5	0.6594172093	0.7063075945
6	0.6551510743	0.7065459167
7	0.6507178359	0.7059898316
8	0.6465678179	0.7090880203
9	0.6430025805	0.7081347315
10	0.6390181251	0.7109151573
11	0.6351703348	0.7105973943
12	0.6315002008	0.7108357166
13	0.6282282498	0.7116301239
14	0.6252806009	0.7110740388
15	0.62235075	0.7105973943
16	0.6195687719	0.7107562758
17	0.6169669955	0.7114712425
18	0.6145186192	0.7116301239
19	0.612170897	0.7120273276
20	0.610149301	0.7116301239
21	0.6081745152	0.7120273276
22	0.6057661521	0.7124245313
23	0.6041022957	0.7121067684
24	0.6024392998	0.7125834128
25	0.6006856342	0.7125834128
26	0.5988997802	0.712503972
27	0.5970913507	0.7117890054
28	0.5956298446	0.7121862091
29	0.5940953315	0.712503972
30	0.5926893028	0.7124245313
31	0.5915368707	0.7129011757
32	0.5902821663	0.7131394979
33	0.5889158245	0.7129011757
34	0.5878037218	0.7132189387
35	0.586522023	0.7133778201
36	0.585194842	0.7135367016
37	0.5839271191	0.7141722275
38	0.5826643135	0.714331109
39	0.5816514327	0.714331109
40	0.580812589	0.714331109
41	0.5799873286	0.7144899905
42	0.5789570743	0.714331109
43	0.5778534922	0.7146488719
44	0.5768893888	0.7149666349
45	0.5761580707	0.7155227201
46	0.575397466	0.7165554496
47	0.574588334	0.7167937718
48	0.5737528807	0.7167937718
49	0.572989907	0.7175881792
50	0.5723091043	0.7183031459
51	0.5716161229	0.7182237051
52	0.5707289662	0.7185414681
53	0.5701560594	0.7187797903
54	0.5696064718	0.7189386718
55	0.5690233942	0.7189386718
56	0.5683233515	0.7192564347
57	0.5676192742	0.7197330791
58	0.5670791167	0.7199714013
59	0.5663496488	0.7198919606
60	0.5656850564	0.7207658087
61	0.5651213113	0.7217190976
62	0.5644326551	0.7217985383
63	0.5637429212	0.7219574198
64	0.5632432626	0.7220368605
65	0.5625975323	0.722195742
66	0.5621907115	0.7224340642
67	0.561745602	0.7225135049
68	0.5611360175	0.7233079123
69	0.5605710312	0.7241817604
70	0.5599267443	0.72521449
71	0.5595891197	0.7260088974
72	0.5588748721	0.7262472196
73	0.5583479971	0.726723864
74	0.5579981854	0.7272005084
75	0.5574312632	0.7280743565
76	0.556825963	0.7281537973
77	0.5553827739	0.7293454083
78	0.5539835483	0.7304575786
79	0.5536347103	0.7309342231
80	0.5532052882	0.7304575786
81	0.5527666303	0.7311725453
82	0.5522966013	0.7313314268
83	0.5518431678	0.731251986
84	0.5514800315	0.7308547823
85	0.550290739	0.7308547823
86	0.5498212828	0.7319669527
87	0.5495084666	0.7321258341
88	0.5490976346	0.7322052749
89	0.5486746615	0.7331585637
90	0.5483158293	0.7329202415
91	0.5475192136	0.7338735303
92	0.5470450079	0.7343501748
93	0.5464338017	0.7345090562
94	0.5452145395	0.735780108
95	0.5449506503	0.735780108
96	0.5446096477	0.7361773117
97	0.5444271336	0.7363361932
98	0.5441837873	0.7366539561
99	0.5438569863	0.7376866857
100	0.5435356406	0.7373689228
101	0.5423057462	0.7385605338
102	0.5418615663	0.7387194153
103	0.5409539798	0.7387988561
104	0.5397027597	0.7393549412
105	0.538992521	0.7399904671
106	0.5386149034	0.740625993
107	0.5376010121	0.7411026374
108	0.5372519803	0.7416587226
109	0.5363090344	0.7422148078
110	0.5360947837	0.74245313
111	0.5357888075	0.7426120114
112	0.5355750103	0.7425325707
113	0.535398611	0.7423736892
114	0.5350110052	0.7426914522
115	0.5347187566	0.7426120114
116	0.5345379519	0.7428503337
117	0.5340619258	0.7432475373
118	0.5334245501	0.743644741
119	0.5331811954	0.7438036225
120	0.5329479771	0.7442008262
121	0.5324520815	0.7445185891
122	0.532183835	0.7448363521
123	0.5318002067	0.7449952336
124	0.5313066551	0.7449157928
125	0.5310579643	0.7449952336
126	0.5308010817	0.7449157928
127	0.5305016298	0.7449952336
128	0.5302136472	0.7450746743
129	0.5298904057	0.7450746743
130	0.5296697325	0.7453129965
131	0.529389007	0.7453129965
132	0.528587619	0.7464251668
133	0.5283059	0.7462662854
134	0.52808624	0.7465046076
135	0.5279302688	0.7465840483
136	0.5275751607	0.7465840483
137	0.5272848721	0.7465840483
138	0.5269846012	0.7468223705
139	0.5267854316	0.7472990149
140	0.5266403715	0.7474578964
141	0.5255418243	0.7477756594
142	0.5249091446	0.7484111853
143	0.5245972969	0.7485700667
144	0.5244626704	0.7487289482
145	0.5238102508	0.7490467112
146	0.5233863147	0.7487289482
147	0.5229891121	0.7491261519
148	0.5225994736	0.7493644741
149	0.5222362836	0.7492850334
150	0.5216815556	0.7492055926
151	0.5212741299	0.7496822371
152	0.52119589	0.7494439148
153	0.5210273446	0.7498411185
154	0.5208446355	0.7502383222
155	0.5207382319	0.7501588815
156	0.5204852913	0.7510327296
157	0.5201663588	0.7509532888
158	0.5198863691	0.7506355259
159	0.5198039915	0.7508738481
160	0.5197506411	0.7506355259
161	0.5196348315	0.7514299333
162	0.519146946	0.7517476962
163	0.51895684	0.7519065777
164	0.5186992348	0.7523037814
165	0.5175625951	0.753018748
166	0.5171000296	0.7529393073
167	0.5166390502	0.7534953924
168	0.5165280601	0.753018748
169	0.5164210424	0.7530981888
170	0.5163052268	0.7530981888
171	0.5162436739	0.7532570702
172	0.5161418105	0.7530981888
173	0.5160232587	0.7531776295
174	0.5159597045	0.7534953924
175	0.515824944	0.7530981888
176	0.515449995	0.7534953924
177	0.5152517668	0.7539720369
178	0.5151523908	0.7539720369
179	0.5148196429	0.7543692405
180	0.5146671367	0.7540514776
181	0.514542221	0.7546075628
182	0.5144491384	0.7546870035
183	0.5143718591	0.7550047664
184	0.514364316	0.7550047664
185	0.5140852733	0.7547664442
186	0.5139689764	0.754845885
187	0.5137002431	0.754528122
188	0.5135814073	0.7543692405
189	0.5134130492	0.7546870035
190	0.5131536147	0.7544486813
191	0.5129239123	0.7549253257
192	0.5126772736	0.7554019701
193	0.5124393382	0.7552430887
194	0.5122345013	0.7554814109
195	0.5121745027	0.7554814109
196	0.5121357693	0.7555608516
197	0.5120389704	0.7557197331
198	0.5120236843	0.7557991738
199	0.5120140896	0.7557197331
200	0.5119967537	0.7557197331
201	0.5116071729	0.7554814109
202	0.5115357137	0.7554814109
203	0.5113852807	0.7554019701
204	0.5112813528	0.7561963775
205	0.5110312592	0.7559580553
206	0.5106398689	0.7553225294
207	0.5104801722	0.7557197331
208	0.5103123898	0.756037496
209	0.5101779693	0.756037496
210	0.5100647595	0.7562758182
211	0.5099335424	0.756355259
212	0.509928499	0.7564346997
213	0.5098257379	0.756037496
214	0.5097071331	0.7562758182
215	0.5095583708	0.7561169368
216	0.5091357917	0.7562758182
217	0.5089490034	0.7559580553
218	0.5088256717	0.7558786146
219	0.5087219896	0.7559580553
220	0.5087065999	0.7559580553
221	0.5086243913	0.7565141405
222	0.5084137766	0.7564346997
223	0.5082815732	0.7565141405
224	0.5080805421	0.756355259
225	0.5076973392	0.7569907849
226	0.5074222613	0.7570702256
227	0.5073151182	0.7573085478
228	0.5070167823	0.7571496663
229	0.5066320019	0.75754687
230	0.5065643421	0.7572291071
231	0.5063578823	0.7574674293
232	0.5062660306	0.7576263108
233	0.5062052511	0.75754687
234	0.5061453956	0.7572291071
235	0.5060978918	0.7571496663
236	0.5059373405	0.75754687
237	0.5055907177	0.757864633
238	0.5055003153	0.7577057515
239	0.5047724177	0.7587384811
240	0.5046663575	0.759056244
241	0.5043391051	0.7591356848
242	0.5041980124	0.7591356848
243	0.5040336233	0.7592151255
244	0.5032555269	0.7592151255
245	0.5031231178	0.759374007
246	0.5029102543	0.7592151255
247	0.5028614941	0.759374007
248	0.5026244501	0.7595328885
249	0.5023255202	0.7596123292
250	0.5022811729	0.7595328885
251	0.5018361925	0.7598506514
252	0.5016462929	0.7602478551
253	0.501384018	0.7607244995
254	0.5013219218	0.760565618
255	0.50125116	0.7603272958
256	0.5010033946	0.7602478551
257	0.5009491422	0.7603272958
258	0.5008678157	0.7601684144
259	0.5008123738	0.7600889736
260	0.5007284023	0.7608039403
261	0.5006167909	0.760565618
262	0.5004755913	0.7610422625
263	0.5004224677	0.7609628217
264	0.500297376	0.7607244995
265	0.5001667423	0.7604861773
266	0.50012828	0.7607244995
267	0.5000964342	0.7606450588
268	0.4999282463	0.7606450588
269	0.4997288912	0.7614394662
270	0.4996162279	0.7615983476
271	0.4995333896	0.7616777884
272	0.4992092944	0.7617572291
273	0.4988114204	0.7616777884
274	0.4986381881	0.7615189069
275	0.4985906574	0.7616777884
276	0.4985154933	0.7616777884
277	0.4984043605	0.7618366698
278	0.4983367459	0.7616777884
279	0.4982678278	0.7617572291
280	0.4980058326	0.7618366698
281	0.4974489924	0.7616777884
282	0.4968330968	0.7622338735
283	0.4965094132	0.7626310772
284	0.496481985	0.7626310772
285	0.4964064769	0.7629488402
286	0.4959131651	0.7633460439
287	0.4958038106	0.7635049253
288	0.4957821573	0.7635049253
289	0.4949809075	0.7634254846
290	0.4949359883	0.7632666031
291	0.4947395255	0.7635843661
292	0.4943365162	0.763902129
293	0.4938083863	0.7639815697
294	0.4933888495	0.764219892
295	0.4932223332	0.764219892
296	0.4930701638	0.7640610105
297	0.4930009325	0.764219892
298	0.4928767369	0.7642993327
299	0.4927562267	0.7644582142
300	0.4925831676	0.7644582142
301	0.4925104376	0.7643787734
302	0.4924500062	0.7644582142
303	0.4923363869	0.7643787734
304	0.4922029274	0.7645376549
305	0.4921305336	0.7647759771
306	0.4921066822	0.7648554179
307	0.4917653966	0.7653320623
308	0.4917129284	0.7650937401
309	0.4916835207	0.7652526215
310	0.4914791414	0.7650142993
311	0.4913383377	0.7652526215
312	0.4912181807	0.765411503
313	0.4911437417	0.7655703845
314	0.4911248538	0.7655703845
315	0.4904933498	0.7660470289
316	0.4902715703	0.7663647919
317	0.4899831174	0.7666031141
318	0.4898917724	0.7667619956
319	0.4898204818	0.7666031141
320	0.4897516635	0.766920877
321	0.4896300226	0.7671591992
322	0.4894454159	0.766920877
323	0.48934612	0.7673180807
324	0.4892013504	0.7670797585
325	0.4891277022	0.7668414363
326	0.4889132313	0.76723864
327	0.4887892665	0.7671591992
328	0.4887132695	0.7671591992
329	0.4884557323	0.7676358437
330	0.4883679747	0.7677947251
331	0.4882884529	0.7674769622
332	0.488177109	0.7673975214
333	0.4879532106	0.7676358437
334	0.4877701919	0.7676358437
335	0.4874730463	0.7680330473
336	0.4872361543	0.7680330473
337	0.4869146751	0.7679536066
338	0.4868495161	0.7682713696
339	0.4862009959	0.7685891325
340	0.4860508994	0.7686685732
341	0.4859886778	0.768430251
342	0.4858620573	0.7685891325
343	0.4858124912	0.7686685732
344	0.4857010167	0.7686685732
345	0.4856065734	0.7691452177
346	0.4854337555	0.7692246584
347	0.4853136172	0.7691452177
348	0.4851070813	0.7694629806
349	0.4850247852	0.7697013028
350	0.4847829981	0.7693040991
351	0.4845617872	0.7700190658
352	0.4841779395	0.7704162695
353	0.4840742646	0.769939625
354	0.4837452498	0.7704162695
355	0.4836457665	0.7710517954
356	0.4835885645	0.7709723546
357	0.4834663293	0.7708134731
358	0.4831884261	0.7708134731
359	0.4831243594	0.7710517954
360	0.4829758276	0.7709723546
361	0.4828592122	0.7708929139
362	0.4827716448	0.7710517954
363	0.4827108854	0.7709723546
364	0.4826319077	0.7712106768
365	0.4825749955	0.7711312361
366	0.4825233908	0.7711312361
367	0.4823956463	0.7712106768
368	0.482238655	0.771448999
369	0.4819309975	0.7716873213
370	0.4818239599	0.7716078805
371	0.481680372	0.7716873213
372	0.4815554237	0.7719256435
373	0.4814684402	0.7720050842
374	0.4813629706	0.7720845249
375	0.4812290133	0.7721639657
376	0.4811451572	0.7721639657
377	0.481061472	0.7723228472
378	0.4809825075	0.7721639657
379	0.4808038302	0.7723228472
380	0.4807154257	0.7724817286
381	0.4806643507	0.7726406101
382	0.4805933623	0.7727200508
383	0.4803908139	0.7727994916
384	0.4802675514	0.7728789323
385	0.4801087586	0.7731172545
386	0.4799651317	0.7727200508
387	0.4796752655	0.7729583731
388	0.4794207482	0.7731172545
389	0.4791600043	0.7731966953
390	0.479077609	0.773276136
391	0.478953046	0.773276136
392	0.4788543993	0.773593899
393	0.4788043259	0.7736733397
394	0.4787406995	0.7734350175
395	0.4785078165	0.7738322212
396	0.4784419738	0.7739116619
397	0.4782937788	0.7738322212
398	0.4782091729	0.7740705434
399	0.4780346755	0.7743883063
400	0.4778725606	0.7742294248
401	0.4777932299	0.7745471878
402	0.4777127922	0.77478551
403	0.4776423311	0.7750238322
404	0.4775566776	0.7747060693
405	0.4770735989	0.7745471878
406	0.4769067216	0.7747060693
407	0.4768827803	0.77478551
408	0.4768185939	0.7749443915
409	0.4767654868	0.7747060693
410	0.4766925838	0.7748649507
411	0.4766288908	0.775103273
412	0.4765889011	0.7750238322
413	0.4765193419	0.775103273
414	0.4762812652	0.7745471878
415	0.4762305354	0.7747060693
416	0.4760532354	0.7748649507
417	0.4759447237	0.775103273
418	0.4756392607	0.7750238322
419	0.4755675045	0.7750238322
420	0.4755022096	0.7746266285
421	0.4754168642	0.7747060693
422	0.4752943685	0.77478551
423	0.4752036056	0.7750238322
424	0.4751389718	0.7749443915
425	0.4749575669	0.7753415952
426	0.4748907995	0.7753415952
427	0.4746128558	0.7754210359
428	0.4745321209	0.7755004766
429	0.4744039115	0.7755004766
430	0.474253021	0.7759771211
431	0.4741151809	0.7757387989
432	0.473861056	0.7758182396
433	0.473669913	0.7757387989
434	0.473528175	0.7757387989
435	0.4734895704	0.7757387989
436	0.4733991812	0.7757387989
437	0.4733295161	0.7758976803
438	0.473163001	0.7758182396
439	0.4730617216	0.7758976803
440	0.4729633936	0.7758182396
441	0.47289617	0.7760565618
442	0.4727346479	0.7762154433
443	0.4726849226	0.776294884
444	0.4725590707	0.7762154433
445	0.4725335373	0.7761360025
446	0.4724750384	0.7761360025
447	0.4723848807	0.776294884
448	0.4723358268	0.776294884
449	0.4722678027	0.776294884
450	0.4722242115	0.776294884
451	0.4721648829	0.7765332062
452	0.4721238102	0.7763743248
453	0.4720915084	0.7767715284
454	0.4718896912	0.7769304099
455	0.4718395856	0.7770892914
456	0.4717007734	0.7768509692
457	0.4716691087	0.7769304099
458	0.4713223505	0.7766920877
459	0.4711838221	0.7764537655
460	0.4710549046	0.7765332062
461	0.4709941459	0.776612647
