iter	Passed	Remaining
0	21	52531
1	45	57150
2	61	50928
3	76	47488
4	95	47646
5	111	46306
6	133	47506
7	149	46487
8	163	45357
9	179	44677
10	210	47582
11	282	58630
12	298	57097
13	315	56074
14	341	56495
15	360	55894
16	376	55009
17	392	54162
18	409	53501
19	426	52898
20	450	53190
21	467	52685
22	484	52205
23	501	51702
24	517	51237
25	538	51237
26	558	51184
27	572	50571
28	589	50190
29	604	49742
30	620	49437
31	642	49562
32	656	49045
33	671	48694
34	690	48660
35	713	48810
36	734	48896
37	763	49495
38	786	49612
39	810	49847
40	838	50291
41	861	50434
42	878	50215
43	897	50078
44	918	50103
45	942	50298
46	962	50228
47	978	50007
48	995	49799
49	1013	49660
50	1038	49890
51	1055	49707
52	1072	49528
53	1087	49244
54	1103	49047
55	1120	48901
56	1141	48925
57	1158	48757
58	1173	48552
59	1190	48395
60	1208	48325
61	1233	48492
62	1253	48471
63	1322	50351
64	1347	50474
65	1368	50465
66	1390	50481
67	1416	50650
68	1441	50779
69	1459	50657
70	1478	50565
71	1494	50408
72	1512	50273
73	1532	50254
74	1552	50196
75	1568	50023
76	1584	49866
77	1599	49652
78	1618	49610
79	1642	49685
80	1657	49514
81	1676	49425
82	1692	49273
83	1706	49085
84	1736	49324
85	1757	49340
86	1780	49370
87	1804	49467
88	1827	49501
89	1848	49503
90	1864	49370
91	1882	49277
92	1898	49146
93	1919	49121
94	1943	49192
95	1962	49152
96	1987	49231
97	2013	49360
98	2036	49392
99	2051	49234
100	2062	48995
101	2084	49001
102	2102	48939
103	2125	48962
104	2146	48958
105	2161	48825
106	2179	48735
107	2195	48626
108	2212	48532
109	2237	48610
110	2254	48532
111	2268	48370
112	2286	48290
113	2327	48703
114	2376	49286
115	2392	49178
116	2405	48987
117	2431	49088
118	2449	49013
119	2467	48945
120	2488	48932
121	2504	48823
122	2522	48750
123	2551	48888
124	2570	48835
125	2592	48848
126	2614	48857
127	2636	48866
128	2653	48770
129	2670	48677
130	2687	48606
131	2702	48483
132	2729	48577
133	2740	48383
134	2756	48281
135	2771	48179
136	2798	48261
137	2827	48388
138	2889	49079
139	2983	50288
140	3007	50320
141	3056	50761
142	3072	50646
143	3089	50550
144	3100	50360
145	3127	50426
146	3146	50361
147	3166	50323
148	3183	50236
149	3205	50214
150	3229	50245
151	3249	50191
152	3268	50142
153	3287	50079
154	3304	49996
155	3327	49993
156	3344	49912
157	3537	52438
158	3559	52405
159	3571	52239
160	3591	52173
161	3616	52189
162	3635	52120
163	3654	52061
164	3673	51982
165	3690	51895
166	3716	51912
167	3743	51957
168	3767	51968
169	3782	51846
170	3800	51762
171	3825	51774
172	3845	51726
173	3860	51599
174	3877	51519
175	3896	51451
176	3920	51456
177	3938	51377
178	3959	51346
179	3982	51331
180	4007	51350
181	4039	51454
182	4068	51514
183	4094	51532
184	4138	51787
185	4172	51904
186	4196	51910
187	4229	52018
188	4242	51881
189	4269	51906
190	4297	51947
191	4321	51946
192	4342	51913
193	4367	51915
194	4389	51890
195	4418	51939
196	4438	51887
197	4455	51803
198	4472	51715
199	4487	51604
200	4508	51563
201	4585	52161
202	4631	52401
203	4647	52305
204	4664	52215
205	4684	52161
206	4705	52121
207	4727	52094
208	4744	52010
209	4761	51920
210	4778	51836
211	4797	51777
212	4808	51630
213	4827	51568
214	4843	51472
215	4862	51420
216	4881	51354
217	4897	51262
218	4922	51265
219	4937	51171
220	4953	51083
221	4969	50995
222	4989	50942
223	5017	50978
224	5040	50966
225	5065	50970
226	5091	50981
227	5116	50990
228	5133	50909
229	5153	50862
230	5171	50792
231	5189	50732
232	5216	50755
233	5237	50715
234	5255	50653
235	5272	50578
236	5286	50479
237	5314	50508
238	5333	50451
239	5350	50384
240	5368	50324
241	5388	50279
242	5419	50334
243	5444	50342
244	5471	50355
245	5492	50325
246	5516	50319
247	5532	50238
248	5549	50166
249	5565	50087
250	5641	50544
251	5659	50489
252	5677	50425
253	5699	50398
254	5718	50341
255	5732	50251
256	5748	50173
257	5767	50116
258	5784	50050
259	5805	50017
260	5823	49954
261	5842	49905
262	5859	49838
263	5877	49776
264	5897	49738
265	5920	49722
266	5935	49639
267	5949	49548
268	5964	49465
269	5981	49400
270	6006	49403
